key,source,translation
actor_2_1d_2b_2,Hm... That could make for a pretty funny poem...,อืม... นั่นอาจจะเป็นบทกวีที่ตลกมาก...
actor_2_1d_3,This <Astrologer> must be the smartest man around. Maybe he'll be able to help me get back home.,<นักโหราศาสตร์> คนนี้คงฉลาดที่สุดแถวนี้ บางทีเขาอาจช่วยฉันกลับบ้านได้
@actor_2_1e,Ask about the <Lighthouse>.,ถามเกี่ยวกับ <ประภาคาร>.
actor_2_1e_1,It's on a cliff to the east of the village. It hasn't seen active use for a while.,อยู่บนหน้าผาทางตะวันออกของหมู่บ้าน ไม่ได้ใช้งานจริงจังมาพักใหญ่แล้ว
actor_2_1e_2,Bless the <Dead Horse> for staying open. One day I'll write a poem about this place. Maybe even a couple lines about you.,ขอพรจงมีแก่ <ม้าตาย> ที่ยังเปิดอยู่ สักวันข้าจะเขียนบทกวีถึงที่นี่ อาจเผื่อให้เจ้าสักสองสามบรรทัดด้วย
actor_2_1a,Give him the <Ink>.,มอบ <หมึก> ให้เขา
actor_2_1a_1,Great! Ink is the blood of poetry! Hm... That sounds good. I should write that down...,เยี่ยมเลย น้ําหมึกเป็นเลือดของบทกวี ฟังดูดีนะ ฉันควรเขียนมันลงนะ
actor_2_1b,Give him the <Paper>.,มอบ <กระดาษ> ให้เขา
actor_2_1b_1,"Good, paper! Paper is... paper is...",ดี กระดาษ! กระดาษคือ... กระดาษคือ...
actor_2_1b_2,An extension of the poet's soul...,ส่วนขยายแห่งจิตวิญญาณกวี...
actor_2_1b_3,Meh. Let's assume there's nothing poetic about paper ...,ช่างเถอะ ถือว่ากระดาษไม่มีอะไรเป็นบทกวีแล้วกัน...
actor_2_1ab_1,Now I have all the supplies I need. I should start writing my poem to Ms Charm.,ทีนี้ของครบแล้ว ข้าควรเริ่มเขียนบทกวีให้มิสชาร์ม
actor_2_1ab_2,But I'm kinda out of inspiration. Every poet knows this feeling.,แต่ฉันก็เหมือนหมดแรงบันดาลใจ ทุกนักกวีก็รู้จักความรู้สึกนี้
actor_2_1ab_3,"I should start with something simple, and that'll pick me up!",ฉันควรเริ่มจากอะไรที่ง่ายๆ และนั่นจะทําให้ฉันตื่นเต้นขึ้น
actor_2_1ab_4,"If you want, I can write something simple for you.",ถ้าคุณต้องการ ผมเขียนอะไรง่ายๆให้คุณได้
actor_2_1ab_5,For free?,ฟรีหรือ?
actor_2_1ab_6,Practically. Just bring me some wine to replenish my poetic energy. — But only the good stuff!,ก็เกือบฟรี แค่เอาไวน์มาเติมพลังแห่งกวีให้ข้า ต้องของดีเท่านั้นนะ!
actor_2_1ab_7,Don't forget that I'm well-known poet! ... among a select few.,อย่าลืมว่าข้าเป็นกวีชื่อดัง!... ในหมู่ผู้รู้คุณค่าไม่กี่คน
actor_3a,Ask for a story.,ขอเรื่องเล่า
actor_3a_1,Good wine is my friend! Here's a story.,ไวน์ที่ดีเป็นเพื่อนของฉัน นี่คือเรื่องราว
actor_3a_2,It seem like wine doesn't replenish my poetic energy any more.,ดูเหมือนไวน์จะไม่ช่วยเติมพลังแห่งกวีให้ข้าอีกแล้ว
actor_3a_3,I'm so sad! I'm pathetic! All my stories suck!,ฉันเศร้ามาก ฉันน่าสงสาร เรื่องราวทั้งหมดของฉันแย่มาก
actor_3a_4,So no more stories?,แล้วไม่มีเรื่องเล่าอีกเหรอ?
actor_3a_5,Go away! I wasted everything on you! How can Ms Charm fall in love with me now?!,ไปให้พ้น! ข้าใช้ทุกอย่างหมดกับเจ้าแล้ว ทีนี้มิสชาร์มจะหลงรักข้าได้ยังไง?!
astrologer_1,Hi.,สวัสดี
astrologer_1_0,It seems like he's looking right through me.,ดูเหมือนว่าเขาจะมองผ่านฉัน
astrologer_1_1,Are you the Astrologer?,คุณคือนักโหราศาสตร์เหรอ?
astrologer_1_2,I used to be. Now I'm more of a lost soul in this dead-end world.,เคยเป็น ตอนนี้ข้าก็แค่วิญญาณหลงทางในโลกอับจนแห่งนี้
astrologer_1_3,I'm the new Graveyard Keeper. And seems I need your help.,ฉันเป็นผู้ดูแลสุสานคนใหม่ และคงต้องขอให้คุณช่วย
astrologer_1_4,"Everyone needs something. Except me... Knowledge brings only sadness, young man...",ใคร ๆ ก็ต้องการอะไรสักอย่าง ยกเว้นข้า... ความรู้นำมาแต่ความเศร้า พ่อหนุ่ม...
astrologer_1_5,You seem pretty happy...,คุณดูเหมือนจะมีความสุขมาก
astrologer_1_6,Your trivial needs are meaningless to me...,ความต้องการหยุมหยิมของเจ้าไม่มีความหมายต่อข้า...
astrologer_1_7,So there's no way you can help me?,งั้นคุณก็ช่วยฉันไม่ได้เลยเหรอ?
astrologer_1_8,Let me see. You're looking after the Graveyard...,ไหนดูซิ เจ้าดูแลสุสานสินะ...
astrologer_1_9,Yes.,ใช่
astrologer_1_10,Psst... Quiet...,เงียบๆ
astrologer_1_11,Bring me a <Skull>. It's pretty illegal. But who cares about that stupid Inquisitor's law!,หา <หัวกะโหลก> มาให้ข้าหน่อย ผิดกฎหมายอยู่หรอก แต่ใครสนกฎหมายงี่เง่าของผู้ไต่สวนกัน!
astrologer_1_12,The talking one? Gerry? He's kinda my friend. I don't think it would be appropriate...,หัวที่พูดได้เหรอ? เจอร์รีน่ะ? เขาก็เป็นเพื่อนฉันอยู่ ฉันว่าไม่ค่อยเหมาะนะ...
astrologer_1_13,"No, I just need a simple <Skull> from any old <Dead Body>!",ไม่ใช่ ข้าแค่ต้องการ <หัวกะโหลก> ธรรมดาจาก <ศพ> ไหนก็ได้!
astrologer_2a,I need your help.,ฉันต้องการความช่วยเหลือ
astrologer_2b,Give him a <Skull>.,มอบ <หัวกะโหลก> ให้เขา
astrologer_2b_1,Not terribly clean. But every bone is in its place.,ไม่ค่อยสะอาดเท่าไหร่ แต่กระดูกทุกชิ้นก็อยู่ในที่ของมัน
astrologer_2b_2,Seems you have a talent for anatomy.,ดูเหมือนเจ้าจะมีหัวทางกายวิภาคนะ
astrologer_2b_3,The human body is so mysterious. Perhaps even more than the sun and stars.,ร่างกายของมนุษย์เป็นสิ่งลึกลับมาก บางทีอาจยิ่งกว่าดวงอาทิตย์และดวงดาว
astrologer_2b_4,I believe one day you'll learn much about the human body and the soul. And then you will find yourself absolutely lost.,ข้าเชื่อว่าสักวันเจ้าจะเข้าใจร่างกายและวิญญาณมนุษย์มากมาย แล้วก็จะพบว่าตัวเองหลงทางไปหมด
astrologer_2b_5,"Now as we are now partners in crime. What is it you want from me, my curious friend?",ทีนี้เราก็เป็นผู้สมรู้ร่วมคิดกันแล้ว เจ้าต้องการอะไรจากข้าล่ะ สหายผู้ใฝ่รู้?
@astrologer_trade,Trade.,ค้าขาย
@astrologer_2a_1a_1,I need <Ink> and <Paper>.,ฉันต้องการ <หมึก> และ <กระดาษ>.
astrologer_2a_1a_2,Hmm... I have some. Actually I have a lot of useful things.,อืมม... ผมมีบางส่วน ที่จริงผมมีหลายอย่างที่ใช้ได้
astrologer_2a_1a_3,Some of it may be useful for a beginning scientist such as yourself.,บางส่วนอาจมีประโยชน์ สําหรับนักวิทยาศาสตร์มือใหม่อย่างคุณ
astrologer_2a_1a_4,I can't stand those chumps at the <University>. I'd rather earn a little extra coin elsewhere.,ข้าทนพวกงี่เง่าที่ <มหาวิทยาลัย> ไม่ไหว หาเงินที่อื่นดีกว่า
@astrologer_2a_1b_1,I need to open the <Portal>.,ฉันต้องเปิด <ประตูมิติ>
astrologer_2a_1b_2,A friend told me that you might know how to activate the <Portal> on <Witch hill>.,เพื่อนบอกว่าคุณอาจรู้วิธีเปิด <ประตูมิติ> บน <เนินแม่มด>
astrologer_2a_1b_3,"I've never heard about it... Maybe not exactly 'never', but at least not for many years. In another life, I had a friend.",ข้าไม่เคยได้ยินเรื่องนั้น... จะว่าไม่เคยก็ไม่เชิง แค่ไม่ได้ยินมาหลายปีแล้ว ในชีวิตอีกช่วงหนึ่ง ข้าเคยมีเพื่อนอยู่คนหนึ่ง
astrologer_2a_1b_4,"By the way, he was a Graveyard Keeper like you. And he was mad about this <Portal>.",เขาเป็นผู้ดูแลสุสานเหมือนเจ้า และหมกมุ่นกับ <ประตูมิติ> นี่มาก
astrologer_2a_1b_6a,What happened to him?,เกิดอะไรขึ้นกับเขา?
astrologer_2a_1b_6a_1,He just disappeared. Hasn't been seen or heard from since.,เขาหายตัวไป ไม่มีใครเห็นหรือได้ยินจากเขาเลย
astrologer_2a_1b_6a_2,I tried to find him. But nobody knew him. I even started thinking he was just a figment of my imagination.,ข้าพยายามตามหาเขา แต่ไม่มีใครรู้จัก ข้าถึงกับเริ่มคิดว่าเขาเป็นแค่ภาพในจินตนาการ
astrologer_2a_1b_6a_3,It was a hard time for me...,มันเป็นช่วงเวลาที่ยากสําหรับฉัน...
astrologer_2a_1b_6b,Was his name Gerry?,เขาชื่อว่า เจอร์รี?
astrologer_2a_1b_6b_1,Actually I don't know his name. We always used to call him by his nickname — <Keeper>.,จริง ๆ ข้าไม่รู้ชื่อเขา พวกเราเรียกเขาด้วยชื่อเล่นว่า <ผู้ดูแลสุสาน> เสมอ
astrologer_2a_1b_6c,So what about the <Portal>?,แล้วเรื่อง <ประตูมิติ> ล่ะ?
astrologer_2a_1b_6c_1,"I think he found a way activate it. It was something magical, so I don't remember.",ข้าว่าเขาพบวิธีเปิดมัน เป็นเรื่องเวทมนตร์อะไรสักอย่าง ข้าเลยจำไม่ได้
astrologer_2a_1b_6c_2,But it should be in his <diary>. Just before his disappearance he gave me this <key>.,แต่คงมีเขียนไว้ใน <สมุดบันทึก> ของเขา ก่อนหายตัวไป เขามอบ <กุญแจ> นี่ให้ข้า
astrologer_2a_1b_6c_3,It opens a metal <gate> in the northern part of the <Church Cellar>. Somewhere in there is where he kept his most important notes.,มันใช้เปิด <ประตู> เหล็กทางเหนือของ <ห้องใต้ดินโบสถ์> เขาเก็บบันทึกสำคัญที่สุดไว้ที่ไหนสักแห่งในนั้น
astrologer_2a_1b_6c_4,Why didn't you take these notes?,ทําไมคุณไม่เอาบันทึกพวกนี้ไป?
astrologer_2a_1b_6c_5,Oh I tried. But there's a secret to this key. I tried for months to figure out how it works.,ข้าลองแล้ว แต่กุญแจนี่มีเคล็ดลับ ข้าใช้เวลาหลายเดือนพยายามหาวิธีใช้
astrologer_2a_1b_6c_6,Maybe it's just in my mind and the key opens nothing.,บางทีข้าอาจคิดไปเอง แล้วกุญแจนี่ก็เปิดอะไรไม่ได้เลย
astrologer_2a_1b_6c_7,"Anyway, you can take it.",เอาเถอะ เจ้าเอาไปได้
astrologer_2a_1b_6c_8,Try to learn how the <Key> works at the <Study Table> in the <Church Cellar>.,ลองศึกษา <กุญแจ> ที่ <โต๊ะศึกษา> ใน <ห้องใต้ดินโบสถ์> ดูว่าใช้ยังไง
astrologer_2a_1b_6c_9,"When you have his <Diary>, bring it to me and I'll try to find some information about the <Portal>.",ได้ <สมุดบันทึก> แล้วเอามาให้ข้า ข้าจะลองหาข้อมูลเรื่อง <ประตูมิติ> ให้
@astrologer_diary,Give him the <Diary>.,มอบ <สมุดบันทึก> ให้เขา
astrologer_diary_1,"Great, great. How many important things there must be in this book. Amazing!",เยี่ยม เยี่ยม หนังสือนี้ต้องมีสิ่งสําคัญมากมายมากเลย น่าทึ่ง
astrologer_diary_2,I haven't felt so alive for a long time!,ฉันไม่เคยรู้สึกมีชีวิตอย่างนี้มานานแล้ว
astrologer_diary_3,So how can I open the <Portal> on <Witch Hill>?,แล้วฉันจะเปิด <ประตูมิติ> บน <เนินแม่มด> ได้ยังไง?
astrologer_diary_4,"Let me see. You need to craft a <Spirit Laser>. But I don't know what a laser is, sorry...",ไหนดูซิ เจ้าต้องสร้าง <เลเซอร์วิญญาณ> แต่ข้าไม่รู้ว่าเลเซอร์คืออะไร ขอโทษด้วย...
astrologer_diary_5,It should be crafted on the <Pedestal> in front of the portal. Hm...,ต้องสร้างบน <แท่น> หน้าประตูมิติ อืม...
astrologer_diary_6,You need to craft it in two parts: an <Emitter> and a <Barrel>...,เจ้าต้องสร้างมันแยกเป็นสองส่วน ได้แก่ <ตัวปล่อยพลัง> และ <ลำกล้อง>...
astrologer_diary_7,And here we have 3 parts of the <Emitter>...,ตรงนี้มีชิ้นส่วนของ <ตัวปล่อยพลัง> อยู่ 3 ชิ้น...
astrologer_diary_8,"A <Mirror of Pride>, an <Eternal Burning Coal> and a <Salty Fork>.",<กระจกแห่งความทะนง> <ถ่านเพลิงนิรันดร์> และ <ส้อมเค็ม>
astrologer_diary_9a,What about the second part?,แล้วส่วนที่สองล่ะ?
line_replaced_1,The second part of the book's text is covered with something sticky. I'll need to clean it off first.,ข้อความครึ่งหลังถูกอะไรเหนียว ๆ ปิดทับอยู่ ต้องล้างออกก่อน
line_replaced_2,I think I'll need some <Acid> to clean it. I gave up alchemy many years ago. It's really a dead end occupation. But I know where you can get some <Acid>.,ข้าว่าต้องใช้ <กรด> ล้าง ข้าเลิกเล่นแร่แปรธาตุไปหลายปีแล้ว อาชีพอับจนชัด ๆ แต่ข้ารู้ว่าจะหา <กรด> ได้ที่ไหน
astrologer_diary_9a_3,There should be an old woman in the swamp. She's definitely mad. But in the distant past she once sold me chemical ingredients.,น่าจะมีหญิงชราอยู่ในหนองน้ำ นางบ้าแน่นอน แต่เมื่อนานมาแล้วเคยขายส่วนผสมเคมีให้ข้า
astrologer_diary_9b,Where can I find that stuff?,ฉันหาของพวกนี้ได้ที่ไหน
astrologer_diary_9b_1,"He wrote that his friends believed that all these things could be found in <The Town>. Hm... I don't understand this, but he wrote that they were the soul of <The Town>.",เขาเขียนว่าเพื่อน ๆ เชื่อว่าหาของพวกนี้ได้ใน <เมืองใหญ่> อืม... ข้าไม่เข้าใจ แต่เขาเขียนว่ามันเป็นวิญญาณของ <เมืองใหญ่>
astrologer_diary_9b_2,It all sounds like a delusion to me. Magic — hah... what nonsense!,ข้าฟังแล้วเหมือนเรื่องเพ้อเจ้อทั้งนั้น เวทมนตร์งั้นหรือ ฮึ... ไร้สาระสิ้นดี!
astrologer_diary_9b_3,"If I were you, I'd start with something you can see. First I'd check the <Pedestal> near the <Portal>.",ถ้าเป็นข้า จะเริ่มจากสิ่งที่มองเห็นได้ ก่อนอื่นลองดู <แท่น> ใกล้ <ประตูมิติ>
astrologer_diary_9b_4,"Second, try to get to <The Town>. And find those items!",จากนั้นลองเข้า <เมืองใหญ่> แล้วหาของพวกนั้น!
snake_intro_1,Hold still!,อย่าขยับ
snake_intro_2,Who are you?,นายเป็นใคร?
snake_intro_3,I'm the <Graveyard Keeper>. And <Prior> of this church.,ฉันเป็น <ผู้ดูแลสุสาน> และ <อธิการ> ของโบสถ์นี้
snake_intro_4,Mind your business. I have a dagger and I'll gladly use it!,อย่ามายุ่งเรื่องข้า ข้ามีกริช แล้วก็พร้อมจะใช้มัน!
snake_1a,Try to convince him.,พยายามที่จะโน้มน้าวเขา
snake_1a_1,I have nothing against you. Maybe I can even help you.,ฉันไม่ได้คิดร้ายกับนาย อาจช่วยนายได้ด้วยซ้ำ
snake_1a_2,"Hmm... You appear useless, but also harmless. Help me open this gate.",อืม... เจ้าดูไร้ประโยชน์ แต่ก็ไม่มีพิษภัย ช่วยข้าเปิดประตูนี่สิ
snake_1a_3,I have these <Instructions> and apparently I need a key. My lockpicks won't work.,ข้ามี <คำแนะนำ> นี่ ดูเหมือนจะต้องใช้กุญแจ สะเดาะกลอนก็ไม่ได้ผล
snake_1a_4,Bring me the <Key> and we'll talk. Make one or find it. I don't care.,เอา <กุญแจ> มา แล้วเราค่อยคุยกัน จะสร้างหรือไปหาจากไหน ข้าไม่สน
snake_1a_5,Ok. I need something behind this door too. So I'll try to help.,โอเค ฉันต้องการอะไรบางอย่างที่อยู่เบื้องหลังประตูนี้ด้วย ฉันจะพยายามช่วย
snake_1a_6,You can take these <Instructions>.,เอา <คำแนะนำ> นี่ไปได้
snake_1b,Try to threaten him.,พยายามขู่เขา
snake_1b_1,"You may have a dagger, but I have a sword!",นายอาจมีกริช แต่ฉันมีดาบ!
snake_1b_2,Ok. But you should know I fight like a beast to the death... Arr... I'm ready to die! Are you?,ก็ได้ แต่ข้าสู้ยิบตาเหมือนสัตว์จนตัวตรอกนะ... ฮึ่ม... ข้าพร้อมตาย! แล้วเจ้าล่ะ?
snake_1b_3,"On the one hand, he looks dangerous, but on the other hand I'm definitely not ready to become a murderer... yet...",ด้านหนึ่งเขาก็ดูอันตราย แต่อีกด้าน ฉันยังไม่พร้อมจะเป็นฆาตกร... อย่างน้อยก็ตอนนี้...
snake_1b_4,I won't fight you. But stay away from my property here!,ฉันไม่สู้กับนายก็ได้ แต่อย่ามายุ่งกับของของฉันที่นี่!
snake_1b_5,Arr. I have no use for rotten flesh and old books.,เฮอะ ข้าไม่อยากได้เนื้อเน่า ๆ กับหนังสือเก่า ๆ หรอก
@snake_1с,Mrs. Charm sent you this.,มิสชาร์มฝากนี่มาให้นาย
snake_1с_1,Ha ha. She tell you it was a joke?,ฮ่า ๆ นางบอกเจ้าหรือเปล่าว่าเป็นแค่มุก?
snake_1с_2,She used to be so sweet and naive.,เมื่อก่อนนางทั้งน่ารักทั้งไร้เดียงสา
snake_1с_3,So are you her new lover or what?,งั้นคุณเป็นแฟนใหม่ของเธอหรืออะไร?
snake_1с_4a,I just met her.,ฉันเพิ่งเจอเธอ
snake_1с_4a_1,And already at her beck and call. Typical.,แล้วก็วิ่งรับใช้นางแล้ว ตามสูตร
snake_1с_4b,Yes we're in love.,ใช่เรารักกัน
snake_1с_4b_1,Ha ha. That's a good one. She's not interested in love...,ฮ่า ฮ่า นั่นดี เธอไม่สนใจความรัก
@snake_buisnes,Talk business.,พูดเรื่องธุรกิจกันเถอะ
snake_buisnes_1,I was told that you could get some... illegal stuff for me.,ได้ยินว่านายหาของ... ผิดกฎหมายให้ฉันได้
snake_buisnes_2,"If you heard that I could do something, then I probably can, but...",ถ้าเธอได้ยินมาว่า ฉันสามารถทําอะไรได้ ฉันอาจจะทําได้ แต่...
snake_buisnes_3,One good turn deserves another!,อยากให้ช่วย ก็ต้องช่วยตอบแทน!
@snake_meat_1,I need a <Royal Stamp>.,ฉันต้องการ <ตราประทับราชสำนัก>
@snake_pass_1,I need a <Town Pass>.,ฉันต้องการ <บัตรผ่านเข้าเมืองใหญ่>
@snake_give_key,Give him the <Key>.,มอบ <กุญแจ> ให้เขา
snake_give_key_1,Here's the key.,นี่คือกุญแจ
snake_give_key_2,"At last! One step closer. Ok, you go first!",ในที่สุด! ใกล้เข้าไปอีกก้าวแล้ว เอาล่ะ เจ้าไปก่อน!
snake_give_key_3,They'll see who's worthless. I'll wipe those smug looks off their faces!,เดี๋ยวก็รู้ว่าใครไร้ค่า ข้าจะทำให้พวกมันยิ้มเยาะไม่ออกเลย!
snake_give_key_4,Who are you talking about?,คุณกําลังพูดถึงใคร?
snake_give_key_5,I'm talking about all of them!,ฉันพูดถึงพวกเขาทั้งหมด
snake_give_key_6,Everybody who lives in this cursed town. And everybody who thinks they're better than me! Just because I ...,ทุกคนในเมืองใหญ่งี่เง่านี่ ทุกคนที่คิดว่าตัวเองดีกว่าข้า! แค่เพราะข้า...
snake_give_key_7,Just because they have everything and I have nothing. But soon I'll have everything!,เพราะพวกเขามีทุกอย่าง และฉันไม่มีอะไร แต่เร็ว ๆ นี้ฉันจะมีทุกอย่าง
snake_give_key_8,"Whatever. Oh, I think I see what I'm looking for.",ช่างเถอะ อ้อ ฉันเห็นของที่ตามหาแล้ว
first_death_1,Oh. What just happened?,โอ้ เกิดอะไรขึ้น
first_death_2,It seems like I'm alive and back home.,ดูเหมือนว่าฉันยังมีชีวิตอยู่ และกลับมาที่บ้าน
first_death_3,Under the circumstances I'm not sure that's good news...,ภายใต้สถานการณ์นี้ ฉันไม่แน่ใจว่ามันเป็นข่าวดี
snake_back_1,I need to go back and get that <Diary>!,ฉันต้องกลับไปเอา <สมุดบันทึก>!
snake_back_2,"Wow, just wow. How did you do it?",ว้าว ว้าว คุณทําได้ยังไง?
snake_back_3,I don't know. I just went back to my hut.,ฉันไม่รู้ ฉันแค่กลับไปที่กระท่อมของฉัน
snake_back_4,Great. I should be used to it — life gives me lemons all the time.,เยี่ยม ข้าน่าจะชินแล้วนะ ชีวิตโยนแต่เรื่องบัดซบมาให้ตลอด
snake_back_5,"You're such a useless idiot, and yet you're immortal. That's totally not fair.",นายเป็นไอ้โง่ไร้ประโยชน์ แต่ก็ยังเป็นอมตะ นั่นมันไม่ยุติธรรมเลย
snake_back_6,I hate you!,ฉันเกลียดคุณ!
snake_back_7,Pardon me?,ขอโทษนะ?
snake_back_8,I HATE YOU!,ฉันเกลียดคุณ!
snake_back_9,Let me write this down... Graveyard Keeper... can't die...,ขอจดหน่อย... ผู้ดูแลสุสาน... ตายไม่เป็น...
snake_back_10,Hm. Actually I could use your help.,ที่จริงแล้ว ฉันต้องการความช่วยเหลือจากคุณ
snake_back_11,Now that your immortal ass is here. I've decided that I don't want to die in this dungeon.,ในเมื่อไอ้ตัวอมตะอย่างเจ้ามาอยู่ที่นี่แล้ว ข้าก็ตัดสินใจว่าไม่อยากตายในคุกใต้ดินนี่
snake_back_12a,What dungeon?,คุกใต้ดินอะไร?
snake_back_12a_1,Right up there. It was here even before the church. And nobody knows how deep it goes.,ตรงนั้นไง มีมาก่อนโบสถ์เสียอีก ไม่มีใครรู้ว่าลึกแค่ไหน
snake_back_12b,How can I help?,ฉันช่วยอะไรได้บ้าง?
snake_back_12b_1,I have my sources. So I always know where to find what I need.,ฉันมีแหล่งข่าวของฉัน ฉันจึงรู้ว่าจะหาสิ่งที่ฉันต้องการได้อย่างไร
snake_back_12b_2,"And at this point in my plan for retribution, a lot of the things I need are in that dungeon.",และแผนแก้แค้นของข้าถึงขั้นที่ต้องใช้ของจากคุกใต้ดินนั่นหลายอย่าง
snake_back_12b_3,"First, I need a <Bucket of Blood>!",ก่อนอื่น ฉันต้องการ <เลือดหนึ่งถัง>!
snake_back_12b_4,And 5 <Bloody Nails>.,กับ <ตะปูเปื้อนเลือด> 5 อัน
snake_back_12b_5,You should be able to find them on one of the first levels. Where the pagans were tortured!,น่าจะหาได้ในชั้นต้น ๆ ที่เคยใช้ทรมานพวกนอกรีต!
@give_blod_bucket,Give him the <Bucket of Blood>.,มอบ <เลือดหนึ่งถัง> ให้เขา
give_blod_bucket_1,Ohh. Pagan blood! That'll work!,โอ้ เลือดคนนอกรีต! ใช้ได้เลย!
@give_blod_nails,Give him the <Bloody Nails>.,มอบ <ตะปูเปื้อนเลือด> ให้เขา
give_blod_nails_1,Good. These nails can break the seal!,ดี ตะปูพวกนี้ทำลายผนึกได้!
npc_cultist_taks_1,Bring a bucket of blood and 5 bloody nails.,นำเลือดหนึ่งถังกับตะปูเปื้อนเลือด 5 อันมา
npc_guard_say_0,The Village is safe.,หมู่บ้าน ปลอดภัย
npc_guard_say_1,The villagers can sleep safe.,ชาวหมู่บ้านจะได้นอนหลับอย่างปลอดภัย
npc_guard_say_2,I'm a guard in the dark.,ฉันเป็นยามในความมืด
npc_guard_talk_0,"We can talk in the day, not now.",เราคุยกันตอนกลางวันได้นะ ไม่ใช่ตอนนี้
in_cellar,What's that sound?,เสียงอะไรน่ะ?
in_cellar_2,Damn gate!,ประตูบ้า!
in_cellar_3,"I'll come here every night if I have to, but I'll get through eventually!",ต่อให้ต้องมาทุกคืน ข้าก็จะเปิดมันให้ได้!
in_cellar_4,Looks like I can remove this blockage and fortify the arch.,ดูเหมือนฉันจะเคลียร์สิ่งกีดขวาง แล้วเสริมซุ้มประตูให้แข็งแรงได้
in_cellar_5,This blockage can be removed only from the other side.,ต้องเคลียร์สิ่งกีดขวางนี้จากอีกด้านเท่านั้น
mailbox_intro_1,"From: Head of  Royal Treasury Department
We are happy to congratulate you on the reopening of the <Church> and the <Graveyard>.","จาก: หัวหน้ากรมพระคลัง
เราขอแสดงความยินดีที่ <โบสถ์> และ <สุสาน> กลับมาเปิดอีกครั้ง"
mailbox_intro_2,"Also we are pleased to inform you that by using these lands you have become a subject of Royal law. 
All on-ground structures remain property of the Holy Church.","ทั้งนี้ ขอแจ้งให้ทราบว่าการใช้ที่ดินดังกล่าวทำให้ท่านอยู่ภายใต้กฎหมายราชสำนัก 
สิ่งปลูกสร้างบนดินทั้งหมดยังคงเป็นทรัพย์สินของคริสตจักรศักดิ์สิทธิ์"
mailbox_intro_3,"However all surface land and buildings that sit no deeper than 1 Royal leap 4 Royal spit, 
as dictated by the ancient contract, belong to the Royal family and The Town!","อย่างไรก็ตาม ที่ดินและสิ่งปลูกสร้างที่อยู่ลึกไม่เกิน 1 กระโดดหลวง 4 ถุยหลวง 
ตามสัญญาโบราณ ล้วนเป็นทรัพย์สินของราชวงศ์และเมืองใหญ่!"
mailbox_intro_4,"Through this mailbox, you may now access a vast array of services provided by the Royal Treasury Department. 
Your taxes may also be paid by mail. Have a nice day, and remember — King Joe VII loves you!","ท่านสามารถใช้ตู้ไปรษณีย์นี้รับบริการมากมายจากกรมพระคลังได้แล้ว 
ท่านชำระภาษีทางไปรษณีย์ได้เช่นกัน ขอให้เป็นวันที่ดี และจงจำไว้ว่า กษัตริย์โจ VII ทรงรักท่าน!"
mailbox_1a,Title verification.,ตรวจสอบฐานันดร
mailbox_1a_1,Citizen,พลเมือง
mailbox_1a_2,Rightful Citizen,พลเมืองโดยชอบธรรม
mailbox_1a_3,Aristocrat,ขุนนาง
mailbox_1a_4,Rightful Citizen,พลเมืองโดยชอบธรรม
mailbox_1a_5,Aristocrat,ขุนนาง
mailbox_1b,Paid services.,บริการมีค่าธรรมเนียม
mailbox_permission,Exhumation permission,ใบอนุญาตขุดศพ
mailbox_stamp,Royal Stamp,ตราประทับราชสำนัก
mailbox_townpass,Town Pass,บัตรผ่านเข้าเมืองใหญ่
mailbox_build_license,Building License,ใบอนุญาตก่อสร้าง
mailbox_traid_license,Trade License,ใบอนุญาตการค้า
mailbox_entertaining_license,Entertainment License,ใบอนุญาตบันเทิง
mailbox_firework_license,Fireworks License,ใบอนุญาตดอกไม้ไฟ
mailbox_1с,Taxes and Penalties,ภาษีและค่าปรับ
waterfall_fishing_spot_info,,
village_lake_fishing_spot_info,,
river_fishing_spot_info,,
fishing_spot_info,"This is a fishing spot like others you can find in the 
<Village>, <River>, <Swamp> and <Sea>.","นี่คือจุดตกปลาแบบเดียวกับที่พบได้ใน 
<หมู่บ้าน> <แม่น้ำ> <หนองน้ำ> และ <ทะเล>"
shepherd_1,"You're welcome, fella.",ไม่ต้องห่วงเพื่อน
shepherd_2,Bye.,บาย
mailbox_aristocrat_paper,Aristocrat papers,เอกสารขุนนาง
miller_on_the_way,Let's talk later.,มาคุยกันทีหลัง
npc_engineer_on_the_way,"Later, later...",ภายหลัง ภายหลัง...
guard_hill_1,Hey stop sneaking around. You've been warned!,เฮ้ หยุดด้อม ๆ มอง ๆ ได้แล้ว ข้าเตือนเจ้าแล้วนะ!
guard_hill_2,I'm just walking around.,ฉันแค่เดินไปรอบๆ
guard_hill_3,There's nothing to see here...,ไม่มีอะไรจะเห็นที่นี่...
guard_hill_4,Then what are you doing here?,แล้วคุณมาทําอะไรที่นี่?
guard_hill_5,It's an ambush!,มันเป็นการซุ่มโจมตี!
guard_hill_6,Mmmm... I'm not an expert but it doesn't look like an ambush to me.,อืม... ฉันไม่ใช่ผู้เชี่ยวชาญ แต่ดูไม่เหมือนซุ่มโจมตีเลยนะ
guard_hill_7,Inquisitor had a bad dream about this portal and the cultists.,ท่านผู้ไต่สวนฝันร้ายเรื่องประตูมิตินี่กับพวกลัทธิมืด
guard_hill_8,So now we're waiting here for the cultists!,เราก็เลยมารอพวกลัทธิมืดอยู่ตรงนี้!
guard_hill_9,What cultists?,ลัทธิมืดอะไร?
